position,caller,owner,healthFactor,healthFactorRaw,isLiquidatable,status,error
0x0D88B2c221C029691BE2f32Da29EFBAFaD3f5F07,0x41ea7e9113Bc00D3f7cE54130eB2F6d152BF91fd,0x41ea7e9113Bc00D3f7cE54130eB2F6d152BF91fd,1.124938,1124938160177460693,false,HEALTHY,""
0x3d2F9CE95b44A386755074C98a5F6d7868e39B15,0x39Bc45F502000918607F2fa19Bbab8C39d856518,0x39Bc45F502000918607F2fa19Bbab8C39d856518,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x20042fD8c991DfF766E44361a1264a6B6801fc56,0xeDee4752e5a2F595151c94762fB38e5730357785,0xeDee4752e5a2F595151c94762fB38e5730357785,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xc684612461AcC9E9735DcbeEe08625c70eE02e25,0xc3Cdb57C1169fD641ef5d08D9A5828E5A8bCeFcF,0xc3Cdb57C1169fD641ef5d08D9A5828E5A8bCeFcF,1.224172,1224171785697663966,false,HEALTHY,""
0x3505fbFa2A755e59b81E710Bb65092c1B99b6323,0x3d1E49665d682b6736F7D18a7c6252C3B13d173a,0x3d1E49665d682b6736F7D18a7c6252C3B13d173a,1.207742,1207741751750438807,false,HEALTHY,""
0xab5D943BE4fcd149a074740ea8C0c8fE1A055750,0xbbe46960961A05C7981a5F6f0490e8A4916B56c9,0xbbe46960961A05C7981a5F6f0490e8A4916B56c9,1.020146,1020145596881738461,false,HEALTHY,""
0x800797802bDB987ad75848a6881345169E1535bB,0xb06caFa21b4616a13dA027F28Db5e41d01A155A4,0xb06caFa21b4616a13dA027F28Db5e41d01A155A4,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x3fa4Fb835631c04d2036CE5cd5f75Bdff39aB771,0x94399055A64b351429562Ff00E8b3E449d087C46,0x94399055A64b351429562Ff00E8b3E449d087C46,1.146209,1146209365978085409,false,HEALTHY,""
0xE53CC17EFE3554629A14af8CC23CE26910f02E45,0x86CaB28464B654a12B5ad1b49894CFaa13B6bdc0,0x86CaB28464B654a12B5ad1b49894CFaa13B6bdc0,1.124723,1124722970088033343,false,HEALTHY,""
0xfEfbcC3032BB08d3d5F04508009D6DF5639c7c7E,0xB619585b533dEE0262eddB86D46AC2f9053db774,0xB619585b533dEE0262eddB86D46AC2f9053db774,1.446340,1446339741977310544,false,HEALTHY,""
0x14B940D79813a77F5f6E2014D96AF19728c4aa29,0x6EFfB1aaC457Da1287E25035052Af6549eD6DEEA,0x6EFfB1aaC457Da1287E25035052Af6549eD6DEEA,1.031057,1031056899639120307,false,HEALTHY,""
0xB5945b5bB7CfAfD0240059c6B0d7fbB6156d9012,0x697B108a9Cf660FB6a2fc3F0FCC1C98B1218249B,0x697B108a9Cf660FB6a2fc3F0FCC1C98B1218249B,1.020165,1020165318038546561,false,HEALTHY,""
0xc28bB02Fb8A3A523A340c35DF15155bc2457eFCC,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xE5DC29279739156e59fEC72d5DADfa72A8Df05e8,0xa4F7d6A008401a608476199A01DCc5487130987a,0xa4F7d6A008401a608476199A01DCc5487130987a,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x45E8B555Fc35A3bad5C6378431c76F7452Cf01E9,0x0f39DFf9EB1d7A58C9fC05a913EF57724D77b6Da,0x0f39DFf9EB1d7A58C9fC05a913EF57724D77b6Da,1.080959,1080958840791235454,false,HEALTHY,""
0x142dD565Ea30c1329083c895Fb74C68A0ab4Dd97,0xB287cdaa138379eF108F0D613086e56Dc115d729,0xB287cdaa138379eF108F0D613086e56Dc115d729,1.159598,1159598197187997108,false,HEALTHY,""
0xb5f366c4BF38D90dE779553b07cf779A60F39DC7,0xB1A29d85145fCe237C095aa7783BF6cF6D130f5b,0xB1A29d85145fCe237C095aa7783BF6cF6D130f5b,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x62e88B0b190066f366dB8518666Db97909DA1993,0x0B558EaBCc3E3bf156FCb523505c1Be76e46f035,0x0B558EaBCc3E3bf156FCb523505c1Be76e46f035,1.215952,1215952216112871173,false,HEALTHY,""
0x136B32E4Ce9C1177EB6782866e6fEbC1765D6034,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""